epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,16154.6,1.52151,2.12198,1.47944,0.01181,0.59795,0.53516,0.48676,0.48792,0.30573,0.58555,0.48781,0.4741,0.31671,1.61691,2.35277,1.72575,0.02665,0,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,16391.5,1.51504,2.12233,1.46046,0.01177,0.58379,0.70829,0.46638,0.49151,0.30956,0.7022,0.45758,0.47957,0.32068,1.58841,2.36633,1.70061,0.02609,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,16628,1.48357,2.08148,1.44182,0.01179,0.58441,0.58716,0.50538,0.49746,0.31826,0.62176,0.50657,0.48767,0.32837,1.60392,2.31937,1.73845,0.02642,0,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,16865,1.48838,2.09765,1.4139,0.01137,0.58094,0.73396,0.47908,0.50062,0.31751,0.72655,0.47303,0.48883,0.32886,1.60668,2.36374,1.71703,0.0266,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,17102.2,1.50415,2.11378,1.41957,0.01158,0.57753,0.60008,0.51104,0.50544,0.31739,0.62873,0.47685,0.49309,0.32435,1.60552,2.36235,1.73683,0.02631,0,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,17339.4,1.50103,2.08823,1.4212,0.01122,0.57514,0.56137,0.46404,0.4928,0.31408,0.55774,0.45928,0.47908,0.32468,1.58959,2.38556,1.76118,0.02581,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,17576.2,1.48384,2.0539,1.42361,0.01149,0.57337,0.54329,0.4891,0.50685,0.31742,0.55232,0.47105,0.49154,0.3272,1.61953,2.40864,1.72604,0.02678,0,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,17812.9,1.49015,2.05158,1.40046,0.0115,0.57343,0.56484,0.48141,0.49717,0.32381,0.56207,0.47435,0.48015,0.3214,1.56384,2.3918,1.71639,0.02479,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,18050.4,1.50491,2.08255,1.40959,0.01127,0.56369,0.53743,0.49432,0.50181,0.30927,0.54627,0.47976,0.48454,0.32449,1.64138,2.40162,1.72679,0.02756,0,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,18287.6,1.48606,2.04173,1.40693,0.01133,0.56178,0.5645,0.49481,0.49397,0.30831,0.55852,0.48574,0.47985,0.32086,1.62904,2.42252,1.70342,0.02752,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,18524,1.47945,2.04896,1.37968,0.01113,0.55916,0.55112,0.49251,0.49937,0.31196,0.54016,0.48279,0.48116,0.32469,1.63133,2.40077,1.71526,0.02738,0,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,18761,1.47343,2.02504,1.3678,0.01089,0.54401,0.68912,0.48915,0.50351,0.31829,0.69909,0.47167,0.48598,0.33062,1.6119,2.40272,1.78401,0.02692,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,18998.6,1.46512,2.00739,1.3656,0.01114,0.54218,0.54951,0.48323,0.50104,0.31228,0.55393,0.46577,0.48544,0.3255,1.61831,2.39908,1.74564,0.02673,0,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,19234.9,1.45471,2.0111,1.357,0.01112,0.54676,0.58252,0.47286,0.51088,0.32235,0.59294,0.46396,0.49858,0.33533,1.61434,2.40232,1.7255,0.02642,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,19472.9,1.45167,2.01126,1.34906,0.01105,0.54558,0.57828,0.49222,0.5124,0.3245,0.61294,0.48172,0.49972,0.33614,1.62539,2.38209,1.73153,0.02718,0,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,19709.7,1.4639,2.01389,1.35843,0.01101,0.5478,0.69565,0.46731,0.50051,0.3183,0.7376,0.44417,0.4885,0.33028,1.59742,2.38268,1.73006,0.02618,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,19946.7,1.4619,2.0265,1.3515,0.01087,0.53223,0.58313,0.46564,0.50447,0.31801,0.58176,0.46245,0.49051,0.33492,1.60993,2.43325,1.734,0.02668,0,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,20184.7,1.46647,2.01277,1.35532,0.01101,0.54564,0.71078,0.48262,0.50673,0.32401,0.70744,0.47346,0.49178,0.33154,1.58923,2.41409,1.73714,0.02619,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
